artist,song,year,genre,lyrics,popularity
Default,Wasting My Time,2001,"rock, pop, metal","I don't want to see you waiting
I've already gone too far away
I still can't keep the day from ending
No more messed up reasons for me to stay

Well this is not for real, afraid to feel
I just hit the floor, don't ask for more
I'm wasting my time
I've wasted my time
You can't stop the feeling, there is no reason
Just make the call and take it all again
Whoa-oh again

Months went by with us pretending
When did our light turn from green to red?
I took a chance and left you standing
Lost the will to do this once again

Well this is not for real, afraid to feel
I just hit the floor, don't ask for more
I'm wasting my time
I've wasted my time
You can't stop the feeling, there is no reason
Just make the call and take it all
I'm wasting my time
I've wasted my time again
Whoa-oh again
I see you waiting
Look so lonely
I see you waiting
I see you waiting

Well this is not for real, afraid to feel
I just hit the floor, don't ask for more
I'm wasting my time
I've wasted my time
You can't stop the feeling, there is no reason
Just make the call and take it all
I'm wasting my time
I've wasted my - well this is

Not for real, afraid to feel
I just hit the floor, don't ask for more
I've wasted my time
I've wasted my time
You can't stop the feeling, there is no reason
Just make the call and take it all again
Whoa-oh again",62
Michelle Branch,All You Wanted,2001,"pop, Folk/Acoustic","[Verse 1]
I wanted to be like you
I wanted everything
So I tried to be like you
And I got swept away
I didn't know that it was so cold
And you needed someone to show you the way
So I took your hand and we figured out that
When the tide comes, I'd take you away

[Chorus]
If you want to
I can save you
I can take you away from here
So lonely inside
So busy out there
And all you wanted was somebody who cares

[Verse 2]
I'm sinking slowly
So hurry, hold me
Your hand is all I have to keep me hanging on
Please, can you tell me?
So I can finally see
Where you go when you're gone
[Chorus]
If you want to
I can save you
I can take you away from here
So lonely inside
So busy out there
And all you wanted was somebody who cares

[Bridge]
All you wanted was somebody who cares
If you need me, you know I'll be there
Oh-oh, whoa, yeah

[Chorus]
If you want to
I can save you
I can take you away from here (I can take you away)
So lonely inside
So busy out there
And all you wanted was somebody who cares
Oh, whoa
(And all you wanted was somebody who cares)
Oh, oh, oh, oh
If you want to (If you want to)
I can save you (Oh)
I can take you away from here (I can take you away)
So lonely inside
So busy out there
And all you wanted was somebody who cares
[Outro]
Please, can you tell me?
So I can finally see
Where you go when you're gone",66
Coldplay,In My Place,2002,"rock, pop","[Verse 1]
In my place, in my place
Were lines that I couldn't change
I was lost, oh yeah
I was lost, I was lost
Crossed lines I shouldn't have crossed
I was lost, oh yeah

[Hook]
Yeah, how long must you wait for it?
Yeah, how long must you pay for it?
Yeah, how long must you wait for it?
For it

[Verse 2]
I was scared, I was scared
Tired and underprepared
But I wait for it
And if you go, if you go
And leave me down here on my own
Then I'll wait for you, yeah

[Hook]
Yeah, how long must you wait for it?
Yeah, how long must you pay for it?
Yeah, how long must you wait for it?
For it
[Bridge]
Sing it please, please, please
Come back, come sing to me
To me, me
Come on and sing it out
Now, now
Come on and sing it out
To me, me
Come back, come sing it

[Outro]
In my place, in my place
Were lines that I couldn't change
I was lost, oh yeah
Oh, yeah",79
50 Cent,In Da Club,2003,"hip hop, pop","[Produced by Dr. Dre &amp; Mike Elizondo]

[Intro]
Go, go, go, go, go, go
Go Shorty, it's your birthday
We gon' party like it's your birthday
And we gon' sip Bacardi like it's your birthday
And you know we don't give a fuck, it's not your birthday

[Chorus]
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed

[Verse 1]
When I pull up out front, you see the Benz on dubs (Uh-huh)
When I roll twenty deep, it's twenty knives in the club (Yeah)
Niggas heard I fuck with Dre, now they wanna show me love
When you sell like Eminem and the hoes, they wanna fuck (Woo)
Look homie, ain't nothin' changed: hoes down, G's up
I see Xzibit in the cut, hey nigga, roll that weed up! (Roll it!)
If you watch how I move, you'll mistake me for a player or pimp
Been hit with a few shells, but I don't walk with a limp (I'm aight)
In the hood in L.A. they sayin', ""50, you hot"" (Uh-huh)
They like me, I want 'em to love me like they love Pac
But holla in New York, the niggas'll tell you I'm loco (Yeah)
And the plan is to put the rap game in a chokehold (Uh-huh)
I'm fully focused, man, my money on my mind
Got a mil' out the deal and I'm still on the grind (Woo)
Now Shorty said she feelin' my style, she feelin' my flow (Uh-huh)
Her girlfriend with her, they bi and they ready to go (Okay)
[Chorus]
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Rubbed)

[Bridge]
My flow, my show brought me the dough
That bought me all my fancy things
My crib, my cars, my clothes, my jewels
Look, nigga, I done came up and I ain't changed (What? What? Yeah)

[Verse 2]
And you should love it way more than you hate it
Nigga, you mad? I thought that you'd be happy I made it (Woo)
I'm that cat by the bar toastin' to the good life
You that faggot-ass nigga tryin' to pull me back, right?
When my joint get to pumpin' in the club, it's on
I wink my eye at yo' bitch, if she smiles, she gone
If the roof on fire, let the motherfucker burn
If you talkin' about money, homie, I ain't concerned
I'ma tell you what Banks told me:
""Cuz, go 'head, switch the style up
If niggas hate, then let them hate, and watch the money pile up""
Or we can go upside your head with a bottle of bub'
They know where we fuckin' be
[Chorus]
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Ha-ha-ha-ha)

[Outro]
Don't try to act like you don't know where we be neither, nigga
We in the club all the time, nigga, so pop, pop off, nigga
G-Unit",77
Sean Paul,Get Busy,2002,"hip hop, pop","[Intro]
Shake dat ting miss, Cana, Cana
Shake dat ting miss, Annabella
Shake dat ting yow, Donna Donna
Jodi and Rebecca

[Verse 1]
Woman, get busy
Jus shake dat booty non-stop
When da beat drops, jus keep swingin' it
Get jiggy, get crunked up
Percolate anyting you want to call it
Oscillate you hip and don't take pity
Me wah fi see you get live 'pon di riddim when me ryde
And me lyrics a provide electricity
Gyal nobody cah tell you nuttin'
Ca you don't know your destiny

[Chorus]
Yo, sexy ladies want par wid us
Inna di car wid us, dem nah war wid us
Inna di club dem wah flex wid us
To get next to us, dem cah vex wid us
From di day me born jah ignite me flame
Gyal a call me name and it is me fame
It's all good, girl, turn me on
'Til a early morn', let's get it on
[Post-Chorus]
Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on

[Verse 2]
Gyal, don't sweat it, don't get agitate, jus gwaan rotate
Ca anyting you want, you know you must get it
From you name a mention, don't ease di tension
Gyal run di program, jus gwaan pet it
Now have a good time
Gal free up unu mind caw nobody cah dis yo' man won't let it
Ca you a di number one gal wave yo' hand
Make dem see yo' weddin' band

[Chorus]
Yo, sexy ladies want par wid us
Inna di car wid us, dem nah war wid us
Inna di club dem wah flex wid us
To get next to us, dem cah vex wid us
From di day me born jah ignite me flame
Gyal a call me name and it is me fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

[Post-Chorus]
Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on
[Verse 3]
Woman, het busy
Jus shake dat booty non-stop
When da beat drops, jus keep swingin' it
Get jiggy, get crunked up
Percolate anyting you want to call it
Oscillate you hip and don't take pity
Me wah fi see you get live 'pon di riddim when me ryde
And me lyrics a provide electricity
Gyal, nobody cah tell you nuttin'
Ca you don't know your destiny

[Chorus]
Yo, sexy ladies want par wid us
Inna di car wid us, dem nah war wid us
Inna di club dem wah flex wid us
To get next to us, dem cah vex wid us
From di day me born jah ignite me flame
Gyal a call me name and it is me fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

[Post-Chorus]
Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on
[Interlude]
Yo, shake dat ting miss, Cana, Cana
Shake dat ting, yo, Annabella
Shake dat ting miss, Donna Donna, yo
Miss Jodi and da one named Rebecca
Yo, shake dat ting, yo, Joanna
Shake dat ting, yo, Annabella
Shake dat ting miss, Cana, Cana

[Chorus]
Yo, sexy ladies want par wid us
Inna di car wid us, dem nah war wid us
Inna di club dem wah flex wid us
To get next to us, dem cah vex wid us
From di day me born jah ignite me flame
Gyal a call me name and it is me fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

[Post-Chorus]
Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on

[Chorus]
Yo, sexy ladies want par wid us
Inna di car wid us, dem nah war wid us
Inna di club dem wah flex wid us
To get next to us, dem cah vex wid us
From di day me born jah ignite me flame
Gyal a call me name and it is me fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

[Outro]
Let's get it on 'til a early morn'
It's all good, jus turn me on
Let's get it on 'til a early morn'
It's all good, jus turn me on",82
50 Cent,P.I.M.P.,2003,"hip hop, pop","[Produced by Mr. Porter]

[Hook]
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P

[Verse 1]
Now, shorty, she in the club, she dancin' for dollars
She got a thing for that Gucci, that Fendi, that Prada
That BCBG, Burberry, Dolce and Gabbana
She feed them foolish fantasies
They pay her, ‘cause they want her
I spit a little G, man, and my game got her
A hour later have that ass up in the Ramada
Them trick niggas in her ear sayin' they think about her
I got the bitch by the bar tryin' to get a drink up out her
She like my style, she like my smile, she like the way I talk
She from the country
Think she like me ‘cause I'm from New York
I ain't that nigga tryin' to holla ‘cause I want some head
I'm that nigga tryin' to holla ‘cause I want some bread
I could care less how she perform when she in the bed
Bitch, hit that track, catch a date, and come and pay the kid!
Look, baby, this is simple, you can't see
You fuckin' with me, you fuckin' with a P-I-M-P
[Hook]
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P

[Bridge]
I'm 'bout my money, you see, girl, you can holla at me
If you fuckin' with me, I'm a P-I-M-P
Not what you see on TV, no Cadillac, no greasy
Head full of hair, bitch, I'm a P-I-M-P
Come get money with me if you curious to see
How it feels to be with a P-I-M-P
Roll in the Benz with me, you could watch TV
From the backseat of my V, I'm a P-I-M-P

[Verse 2]
Girl, we could pop some Champagne and we could have a ball
We could toast to the good life, girl, we could have it all
We could really splurge, girl, and tear up the mall
If ever you needed someone I'm the one you should call
I'll be there to pick you up if ever you should fall
If you got problems I can solve 'em, they big or they small
That other nigga you be with ain't 'bout shit
I'm your friend, your father, and confidant, bitch
[Hook]
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P

[Verse 3]
I told you fools before, I stay with the tools
I keep a Benz, some rims, and some jewels
I holla at a ho 'til I got a bitch confused
She got on Payless; me? I got on gator shoes
I'm shoppin' for chinchillas in the summer, they cheaper
Man, this ho, you can have her
When I'm done I ain't gon' keep her
Man, bitches come and go, every nigga pimpin' know
You sayin' it's secret, but you ain't gotta keep it on the low
Bitch, choose on me, I'll have you strippin' in the street
Put my other hoes down, you get your ass beat
Now Niki my bottom bitch
She always come up with my bread
The last nigga she was with put stitches in her head
Get your ho out of pocket, I'll put a charge on a bitch
‘Cause I need four TV's and AMG's for the six
Ho make a pimp rich, I ain't payin', bitch
Catch a date, suck a dick, shit, trick
[Hook]
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P
I don't know what you heard about me
But a bitch can't get a dollar out of me
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P

[Outro]
Yeah, in Hollywood they say
""There's no b'ness like show b'ness.""
In the hood they say
""There's no b'ness like hoe b'ness,"" you know?
They say I talk a little fast
But if you listen a little faster
I ain't got to slow down for you to catch up, bitch",72
Linkin Park,Faint,2003,"rock, metal","[Verse 1: Mike Shinoda]
I am a little bit of loneliness
A little bit of disregard
Handful of complaints, but I can't help the fact
That everyone can see these scars
I am what I want you to want
What I want you to feel
But, it's like no matter what I do
I can't convince you to just believe this is real

[Pre-Chorus: Mike Shinoda]
So, I let go, watching you
Turn your back like you always do
Face away and pretend that I'm not
But, I'll be here 'cause you're all that I got

[Chorus: Chester Bennington &amp; Both]
I can't feel the way I did, before
Don't turn your back on me, I won't be ignored
Time won't heal this damage, anymore
Don't turn your back on me, I won't be ignored

[Verse 2: Mike Shinoda]
I am a little bit insecure
A little unconfident
'Cause you don't understand, I do what I can
But sometimes, I don't make sense
I am what you never wanna say
But, I've never had a doubt
It's like no matter what I do, I can't convince you
For once, just to hear me out
[Pre-Chorus: Mike Shinoda]
So, I let go, watching you
Turn your back like you always do
Face away and pretend that I'm not
But, I'll be here 'cause you're all that I've got

[Chorus: Chester Bennington &amp; Both]
I can't feel the way I did, before
Don't turn your back on me, I won't be ignored
Time won't heal this damage, anymore
Don't turn your back on me, I won't be ignored

[Bridge: Chester Bennington]
No, hear me out, now
You're gonna listen to me, like it or not
Right now, hear me out, now
You're gonna listen to me, like it or not
Right now
I can't feel the way I did before
Don't turn your back on me, I won't be ignored

[Chorus: Chester Bennington &amp; Both]
I can't feel the way I did, before
Don't turn your back on me, I won't be ignored
Time won't heal this damage, anymore
Don't turn your back on me, I won't be ignored
[Outro: Chester Bennington &amp; both]
I can't feel
Don't turn your back on me, I won't be ignored
Time won't heal
Don't turn your back on me, I won't be ignored",87
Three Days Grace,I Hate Everything About You,2003,"rock, metal","[Verse 1]
Every time we lie awake
After every hit we take
Every feeling that I get
But I haven't missed you yet
Every roommate kept awake
By every sigh and scream we make
All the feelings that I get
But I still don't miss you yet
Only when I stop to think about it

[Chorus]
I hate everything about you
Why do I love you?
I hate everything about you
Why do I love you?

[Verse 2]
Every time we lie awake
After every hit we take
Every feeling that I get
But I haven't missed you yet
Only when I stop to think about it

[Chorus]
I hate everything about you
Why do I love you?
I hate everything about you
Why do I love you?
[Bridge]
Only when I stop to think about you, I know
Only when you stop to think about me, do you know?

[Outro]
I hate everything about you
Why do I love you?
You hate everything about me
Why do you love me?
I hate, you hate
I hate, you love me
I hate everything about you
Why do I love you?",85
Lil Jon & The East Side Boyz,Get Low,2002,"hip hop, pop","[Chorus: Big Sam]
3, 6, 9 - damn you fine
Hoping she can sock it to me one more time
Get low (get low) get low (get low)
Get low (get low) get low (get low)
To the window (to the window)
To the wall (to the wall)
'Til the sweat drop down my balls (my balls)
'Til all these bitches crawl (crawl)
'Til all skeet skeet mo'fuckas, all skeet skeet god damn! (mo'fuckas!)
Til all skeet skeet mo'fuckas, all skeet skeet god damn! (I got down)

[Verse 1: Kaine]
Shorty crunk, so fresh, so clean
Can she fuck? That question been harassing me
In the mind, this bitch is fine
I done came to the club about 50 11 times
Now can I play with your panty line?
The club owner said I need to calm down
Security guard go to sweating me now
Nigga drunker than a motherfucker, threaten me now

[Verse 2: D-Roc]<",80
Justin Timberlake,Rock Your Body,2002,pop,"[Chorus: Justin Timberlake]
Don't be so quick to walk away
Dance with me
I wanna rock your body
Please stay
Dance with me
You don't have to admit you wanna play
Dance with me
Just let me rock you
Till the break of day
Dance with me

[Verse 1: Justin Timberlake]
Guy time, but I don't mind
Just wanna rock you, girl
I'll have whatever you have
Come on, just give it a whirl
See, I've been watching you
I like the way you move
So go ahead, girl, just do
That ass shaking thing you do

[Pre-Chorus: Justin Timberlake]
So you grab your girls
And you grab a couple more
And you all come meet me
In the middle of the floor
Said the air is thick, it's smelling right
So you pass to the left and you sail to the right
[Chorus: Justin Timberlake]
Don't be so quick to walk away
Dance with me
I wanna rock your body
Please stay
Dance with me
You don't have to admit you wanna play
Dance with me
Just let me rock you
Till the break of day
Dance with me

[Verse 2: Justin Timberlake]
I don't mean no harm
Just wanna rock you, girl
Make a move, but be calm
Let's go, let's give it a whirl
See, it appears to me
You like the way I move
I'll tell you what I'm gonna do
Pull you close and share my groove

[Pre-Chorus: Justin Timberlake]
So you grab your girls
And you grab a couple more
And you all come meet me
In the middle of the floor
Said the air is thick, it's smelling right
So you pass to the left and you sail to the right
[Chorus: Justin Timberlake]
Don't be so quick to walk away
Dance with me
I wanna rock your body
Please stay
Dance with me
You don't have to admit you wanna play
Dance with me
Just let me rock you
Till the break of day
Dance with me

[Post-Chorus: Vanessa Marquez &amp; Justin Timberlake]
Talk to me, boy
No disrespect, I don't mean no harm
Talk to me, boy
I can't wait to have you in my arms
Talk to me, boy
Hurry up 'cause you're taking too long
Talk to me, boy
Bet I'll have you naked by the end of this song

[Bridge: Vanessa Marquez, Justin Timberlake and Both]
So what did you come for?
I came to dance with you
And you know that you don't wanna hit the floor
I came to romance with you
You're searching for love forever more
It's time to take a chance
If love is here on the floor, girl
[Interlude: Justin Timberlake]
Hey
Dance with me
Yeah
Come on, baby

[Chorus: Justin Timberlake]
Don't be so quick to walk away
(Don't walk away)
(Come on and)
Dance with me
I wanna rock your body
(Let me rock your body)
Please stay
Come on and
Dance with me
You don't have to admit you wanna play
(You don't have to admit you wanna play, just)
Dance with me
Just let me rock you
(Do do do do)
Till the break of day
(Come on and)
Dance with me

[Post-Chorus: Vanessa Marquez &amp; Justin Timberlake]
Talk to me, boy
No disrespect, I don't mean no harm
Talk to me, boy
But I can't wait to have you in my arms
Talk to me, boy
Hurry up 'cause you're taking too long
(Come on baby)
Talk to me, boy
Bet I'll have you naked by the end of this song

[Beatbox Solo]

[Breakdown: Justin Timberlake]
Don't be so quick to walk away
(Just think of me and you)
Don't be so quick to walk away
(We could do something)
Don't be so quick to walk away
(I like the way you look right now)
Don't be so quick to walk away
(Come over here baby)

[Outro: Justin Timberlake]
Are you feeling me?
Let's do something
Let's make a bet
'Cause I, gotta have you naked by the end of this song",86
The White Stripes,Seven Nation Army,2003,"rock, blues","[Verse 1]
I'm gonna fight 'em off
A seven nation army couldn't hold me back
They're gonna rip it off
Taking their time right behind my back
And I'm talking to myself at night
Because I can't forget
Back and forth through my mind
Behind a cigarette

[Pre-Chorus 1]
And the message coming from my eyes
Says ""Leave it alone""

[Instrumental Chorus]

[Verse 2]
Don't want to hear about it
Every single one's got a story to tell
Everyone knows about it
From the Queen of England to the Hounds of Hell
And if I catch it coming back my way
I'm gonna serve it to you
And that ain't what you want to hear
But that's what I'll do
[Pre-Chorus 2]
And the feeling coming from my bones
Says ""Find a home""

[Instrumental Chorus]

[Guitar Solo]

[Verse 3]
I'm going to Wichita
Far from this opera forevermore
I'm gonna work the straw
Make the sweat drip out of every pore
And I'm bleeding, and I'm bleeding, and I'm bleeding
Right before the Lord
All the words are gonna bleed from me
And I will sing no more

[Pre-Chorus 3]
And the stains coming from my blood
Tell me ""Go back home""

[Instrumental Chorus]",87
Trapt,Headstrong,2002,"rock, metal","[Verse 1]
Circling your, circling your, circling your head
Contemplating everything you ever said
Now I see the truth, I got a doubt
A different motive in your eyes
And now I'm out, see you later

[Pre-Chorus]
I see your fantasy
You want to make it a reality paved in gold
See inside, inside of our heads, yeah
Well, now that's over
I see your motives inside
Decisions to hide

[Chorus 1]
Back off, I'll take you on
Headstrong to take on anyone
I know that you are wrong
Headstrong, we're headstrong
Back off, I'll take you on
Headstrong to take on anyone
I know that you are wrong
And this is not where you belong
I can't give everything away
I won't give everything away
[Verse 2]
Conclusions manifest
Your first impression's got to be your very best
I see you're full of shit and that's alright
That's how you play, I guess you get through every night
Well, now that's over

[Pre-Chorus]
I see your fantasy
You want to make it a reality paved in gold
See inside, inside of our heads, yeah
Well, now that's over
I see your motives inside
Decisions to hide

[Chorus 2]
Back off, I'll take you on
Headstrong to take on anyone
I know that you are wrong
Headstrong, we're headstrong
Back off, I'll take you on
Headstrong to take on anyone
I know that you are wrong
And this is not where you belong
Where you belong
(I can't give everything away)
This is not where you belong
(I won't give everything away)
[Bridge]
I know, I know all about
I know, I know all about
I know, I know all about
I know, I know all about
Your motives inside and your decision to hide

[Chorus 3]
Back off, I'll take you on
Headstrong to take on anyone
I know that you are wrong
Headstrong, we're headstrong
Back off, I'll take you on
Headstrong to take on anyone
I know that you are wrong
And this is not where you belong
Where you belong
This is not where you belong
(I can't give everything away)
This is not where you belong
(I won't give everything away)
This is not where you belong",77
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",2003,"pop, R&B","[Hook:]
Uh oooh
Uh oooh
Uh oooh
Uh oooh

[Verse 1:]
Honestly
If I tell--
Tell you what--
What you wanna know, love
There ain't another
Don't want no other lover
I'll put nothing above you
I'll kick 'em to the gutter
(Uh oooh)
They're trying to shake me
(Uh oooh)
They're c-calling me crazy now
(Uh oooh)
Look at us lately
(Uh oooh)
And tell 'em who's your lady

I never thought you'd be the one
Make me shine brighter than the sun
There ain't no ups and downs
No in and outs
You're here right now
[Chorus:]
If you want me to stay
I'll never leave
If you want me to stay
We'll always be
If you want me to stay
Love endlessly
If you want me to stay
If you want me to stay
I'll never leave you

[Hook:]
Uh oooh
Uh oooh
Uh oooh
Uh oooh

[Verse 2:]
Now that you're loving back
We're happy, it's a fact
Can't nothing hold us back
We got this in the bag
(Uh oooh)
There ain't no maybes
(Uh oooh)
No question of your baby now
(Uh oooh)
Look at us lately
(Uh oooh)
And tell 'em who's your lady
I never thought you'd be the one
Make me shine brighter than the sun
There ain't no ups and downs
No in and outs
You're here right now
[Chorus:]
If you want me to stay
I'll never leave
If you want me to stay
We'll always be
If you want me to stay
Love endlessly
If you want me to stay
If you want me to stay
I'll never leave you

[Outro:]
Uh oooh
Uh oooh
Uh oooh
Uh oooh
Uh oooh
Uh oooh
Uh oooh
Uh oooh",65
Fatman Scoop,Be Faithful,2009,hip hop,"[Fatman Scoop]
Bass drop!
Oh! Oh! Oh! Oh! Oh! Oh!
You got a hundred dollar bill, get your hands up!
You got a fifty dollar bill, get your hands up!
You got a twenty dollar bill, get your hands up!
You got a ten dollar bill, get your hands up!

Single ladies! I can't hear ya!
Single ladies! Make noise!
Single ladies! I can't hear ya!
Single ladies! Make noise!

All the chickenheads, be quiet!
All the chickenheads, be quiet!
All the chickenheads, be quiet!
Yeah baby, Fatman Scoop, Faith Evans sing along! Come on!

[Faith Evans]
I never knew there was a
Love like this before

[Fatman Scoop]
All the good lookin' women sing along
I can't hear ya!
[Faith Evans]
Never had someone to show me a love
Love like this before

[Fatman Scoop]
What's your zodiac sign? (What, what)
What's your zodiac sign? (I can't hear ya!)
What's your zodiac sign? (Yeah, yeah, oh! Oh!)

If you got long hair, get your hands up
If you got short hair, make noise!
If you got long hair, get your hands up
If you got short hair, make noise!

If you got long hair on your head (Ladies!)
If you got long hair on your head!
If you got long hair on your head from your ear to your sleeve
Even if you got a wig!

Yo! Can I get a (oo oo)
Can I get a (oo oo)
Can I get a (oo oo)
Oh! Oh!
Can I get a (oo oo)
Can I get a (oo oo)
Can I get a (oo oo)
Oh! Oh!
To all my niggas that'd hit it from the back
Who want to have sex with no strings attached

Yo! Can I get a (what what)
Can I get a (what what)
Can I get a (what what)
Oh! Oh!

Can I get a (what what)
Can I get a (what what)
Can I get a (what what)
Oh! Oh!

“Engine, engine, number 9
On the New York transit line
If my train goes off the track
Pick it up, pick it up, pick it up""

Let's go!
Who fuckin' tonight? Who fuckin' tonight?
Who fuckin' tonight? Oh! Oh!
Who fuckin tonight? Who fuckin' tonight?
Who fuckin' tonight? Oh! Oh!
Stop playin', keep it movin'!
Stop playin', keep it movin'!
Stop playin', keep it movin'!
Keep it movin' movin' movin'
(Yeah, yeah, yeah, sing along!)
Hey! Ho!
Hey! Ho! (Sing along now!)
Hey! Ho!
Hey! Ho!
(Ladies!) Hey! (Fellas!) Ho!
(Ladies!) Hey! (Fellas!) Ho!
(Ladies!) Hey! (Fellas!) Ho!
C'mon, c'mon, c'mon
Sing along everybody now!

[Faith Evans]
I never knew there was a
Love like this before

[Fatman Scoop]
All the ladies, if you're in here
I need to hear ya!

[Faith Evans]
Never had someone to show me a love
(Word up, Fatman Scoop! Crooklyn Clan! DJ Knuckles! K-Smooth!)
Love like this before
(Oh! Oh! Oh!)

Go girlfriend, it's your birthday!
Go girlfriend, it's your birthday!
Go girlfriend, it's your birthday!
Oh! Oh! Oh! Oh!

Fatman Scoop! Crooklyn Clan!
Fatman Scoop! Crooklyn Clan!
Fatman Scoop! Crooklyn Clan!
Crooklyn Clan! Crooklyn Clan!
Fatman Scoop! Crooklyn Clan!
Fatman Scoop! Crooklyn Clan!
Fatman Scoop! Crooklyn Clan!
Yeah!",54
